config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-2,57,46,10,0.7,0.3,72206.51752719731,17732.974201066183,"[49, 29, 2, 22, 52, 26, 29, 11, 43, 9, 22, 8, 29, 19, 30, 11, 5, 29, 6, 17, 8, 41, 7, 19, 17, 50, 45, 33, 3, 13, 48, 55, 37, 10, 23, 48, 50, 26, 6, 45, 34, 37, 15, 15, 10, 30]","[0, 1, 0, 1, 2, 3, 0, 1, 2, 3, 3, 0, 1, 2, 1, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 0, 1, 0, 2, 3, 1, 0, 0, 1, 2, 0, 3, 0, 1, 3, 1, 1]"
config-2,57,46,10,0.8,0.2,73042.72815952048,17018.788711042547,"[25, 36, 18, 33, 2, 31, 16, 12, 46, 22, 13, 31, 41, 35, 31, 6, 13, 29, 27, 24, 15, 15, 26, 22, 29, 0, 26, 22, 55, 51, 56, 37, 9, 44, 9, 30, 6, 56, 41, 52, 39, 56, 12, 7, 27, 31]","[0, 1, 3, 0, 2, 3, 0, 0, 0, 1, 3, 4, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 2, 3, 1, 1, 3, 0, 1, 2, 3, 1, 2, 3, 4, 1, 0, 0, 1, 2, 3, 0, 1]"
config-2,57,46,10,0.9,0.1,69906.40585087216,16510.99387583668,"[41, 51, 12, 40, 15, 53, 54, 10, 12, 41, 17, 35, 54, 48, 27, 16, 5, 13, 15, 13, 48, 42, 56, 41, 7, 56, 53, 30, 28, 1, 48, 33, 17, 5, 6, 11, 18, 20, 16, 25, 15, 51, 18, 7, 25, 6]","[0, 1, 2, 0, 0, 0, 1, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 4, 1, 0, 2, 1, 0, 1, 2, 0, 1, 1, 0, 1, 2, 0, 1, 2, 3, 0, 1, 0, 1, 3, 1, 0, 1, 3, 0, 1]"
config-2,57,46,20,0.1,0.9,75380.94179521559,14633.869586408628,"[35, 21, 45, 25, 42, 54, 37, 53, 28, 29, 5, 52, 10, 23, 53, 43, 1, 52, 33, 44, 40, 29, 21, 30, 31, 39, 34, 52, 55, 47, 22, 22, 56, 51, 25, 49, 17, 13, 22, 40, 12, 31, 4, 20, 39, 42]","[0, 2, 1, 3, 1, 0, 1, 0, 0, 1, 0, 1, 2, 3, 0, 2, 0, 1, 2, 0, 1, 1, 2, 4, 0, 1, 2, 1, 0, 1, 0, 0, 1, 2, 0, 1, 3, 4, 0, 1, 2, 3, 4, 1, 0, 1]"
config-2,57,46,20,0.2,0.8,70408.95172682907,15450.197059022625,"[22, 6, 25, 29, 11, 4, 5, 52, 31, 37, 51, 19, 10, 5, 7, 0, 25, 12, 34, 3, 45, 24, 39, 31, 2, 27, 24, 48, 37, 17, 44, 37, 43, 24, 52, 3, 9, 1, 42, 19, 25, 12, 7, 12, 40, 2]","[0, 1, 0, 1, 0, 1, 3, 1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 2, 3, 0, 0, 1, 1, 0, 0, 1, 2, 2, 3, 0, 0, 1, 2, 3, 0, 1, 0, 1, 2, 0, 1, 2, 4, 0, 1, 2]"
config-2,57,46,20,0.3,0.7,65631.73646504451,14425.402012464792,"[13, 7, 51, 11, 5, 31, 40, 44, 16, 40, 47, 13, 0, 19, 1, 9, 37, 22, 3, 27, 39, 30, 15, 29, 32, 39, 9, 14, 1, 24, 26, 43, 26, 19, 16, 41, 23, 6, 29, 25, 33, 4, 33, 25, 30, 28]","[0, 1, 2, 3, 4, 0, 1, 2, 0, 0, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 0, 1, 2, 3, 0, 1, 0, 1, 0, 1, 3, 3, 0, 1, 2, 0, 1, 2, 3, 0, 1, 0, 1, 3, 0, 1]"
config-2,57,46,20,0.4,0.6,66917.81206680454,15066.41964405946,"[5, 12, 24, 48, 23, 46, 38, 15, 50, 48, 47, 50, 29, 23, 32, 19, 46, 42, 42, 0, 45, 37, 34, 11, 29, 24, 38, 49, 7, 54, 3, 16, 3, 1, 3, 46, 0, 13, 37, 49, 16, 16, 21, 21, 6, 50]","[0, 1, 2, 0, 0, 1, 0, 1, 2, 3, 0, 1, 2, 3, 0, 0, 1, 0, 1, 1, 0, 1, 2, 3, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 3, 4, 0, 1, 0, 1, 0, 1]"
config-2,57,46,20,0.5,0.5,68308.90029354717,16317.107135221251,"[5, 31, 56, 32, 33, 3, 56, 14, 7, 44, 42, 54, 31, 25, 55, 55, 15, 20, 14, 10, 46, 30, 16, 34, 8, 15, 8, 7, 25, 12, 45, 8, 51, 13, 28, 39, 26, 36, 6, 50, 11, 47, 14, 30, 24, 45]","[0, 1, 2, 0, 2, 1, 2, 0, 1, 2, 0, 1, 0, 1, 2, 3, 0, 1, 0, 1, 2, 1, 2, 0, 0, 1, 2, 3, 4, 1, 0, 1, 3, 0, 1, 2, 3, 4, 0, 1, 2, 3, 0, 2, 0, 1]"
config-2,57,46,20,0.6,0.4,67561.03551735505,14598.0954610978,"[54, 33, 24, 23, 37, 21, 7, 53, 37, 14, 5, 17, 2, 29, 24, 50, 4, 0, 2, 33, 50, 3, 51, 25, 20, 4, 14, 22, 13, 35, 20, 11, 27, 9, 27, 18, 17, 28, 29, 33, 19, 23, 27, 36, 53, 38]","[0, 1, 3, 0, 1, 2, 3, 0, 0, 1, 2, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 2, 0, 1, 2, 1, 0, 1, 3, 4, 1, 0, 1, 2, 3, 0, 1, 2, 0, 1, 0, 1]"
config-2,57,46,20,0.7,0.3,68188.82387515099,16466.40848960847,"[9, 10, 0, 24, 16, 9, 24, 52, 42, 28, 6, 7, 0, 13, 24, 7, 16, 52, 52, 16, 31, 53, 54, 33, 17, 45, 10, 41, 47, 8, 54, 42, 14, 22, 51, 3, 22, 29, 11, 22, 43, 22, 5, 5, 32, 20]","[0, 1, 2, 0, 1, 2, 3, 4, 0, 1, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 3, 4, 0, 1, 0, 0, 1, 2, 1, 0, 1, 3, 0, 1, 0, 1, 0, 1, 2, 3, 0, 1, 0, 0, 1, 2]"
