config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-2,5,46,20,0.1,0.9,670106.0195943165,1636.4950847845691,"[4, 2, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 0, 1, 0, 4, 3, 4, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 4, 4, 4, 2, 3, 4, 4, 3, 4, 4, 1, 4, 2, 4, 4, 4, 2]","[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
config-2,5,46,20,0.2,0.8,677880.4784996607,1722.241559880269,"[1, 4, 4, 2, 4, 4, 2, 4, 2, 2, 4, 4, 0, 3, 2, 4, 2, 2, 2, 4, 2, 2, 4, 4, 0, 4, 4, 4, 3, 2, 4, 2, 0, 2, 4, 4, 3, 2, 4, 4, 4, 2, 4, 2, 4, 4]","[0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0]"
config-2,5,46,20,0.3,0.7,678339.7274751499,1606.6264771924825,"[4, 4, 4, 4, 4, 4, 2, 4, 3, 2, 4, 2, 3, 2, 4, 2, 3, 4, 4, 2, 2, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 2, 4, 2, 0, 4, 4, 0, 2, 2, 2, 4, 4, 1]","[0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0]"
config-2,5,46,20,0.4,0.6,684042.0655438136,1457.8725720613338,"[4, 4, 2, 4, 2, 4, 2, 2, 3, 2, 4, 4, 0, 1, 4, 4, 3, 2, 4, 2, 4, 2, 2, 4, 2, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 2, 3, 4, 4, 0, 4, 4, 2, 4, 2, 4]","[0, 0, 0, 1, 0, 1, 2, 0, 1, 1]"
config-2,5,46,20,0.5,0.5,681399.446403884,1483.9275305377796,"[4, 4, 2, 2, 2, 4, 4, 2, 1, 2, 4, 4, 3, 3, 2, 4, 2, 2, 4, 4, 2, 2, 4, 2, 3, 4, 4, 4, 2, 2, 4, 4, 4, 1, 4, 4, 1, 4, 4, 2, 4, 2, 4, 4, 2, 4]","[0, 0, 0, 0, 1, 1, 0, 1, 0, 2]"
config-2,5,46,20,0.6,0.4,682113.8335718152,1361.6402732388237,"[4, 4, 2, 4, 4, 4, 4, 2, 3, 4, 2, 2, 2, 0, 4, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 3, 2, 4, 3, 2, 4, 1, 4, 4, 2, 2, 2, 4]","[0, 0, 0, 0, 1, 0, 1, 1, 2, 0]"
config-2,5,46,20,0.7,0.3,667094.7994448845,1417.6132106583784,"[4, 4, 4, 4, 4, 4, 2, 4, 0, 2, 4, 4, 4, 2, 2, 2, 3, 2, 4, 4, 4, 4, 4, 2, 1, 4, 2, 4, 0, 4, 4, 4, 2, 2, 4, 4, 3, 4, 2, 3, 4, 4, 2, 2, 4, 4]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
config-2,5,46,20,0.8,0.2,679959.1185009666,1541.2200352661025,"[4, 1, 2, 4, 4, 4, 4, 2, 3, 4, 2, 4, 2, 0, 4, 2, 3, 4, 4, 2, 4, 4, 4, 4, 1, 2, 4, 2, 4, 4, 4, 4, 4, 0, 4, 4, 3, 4, 2, 2, 4, 4, 4, 4, 2, 4]","[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]"
config-2,5,46,20,0.9,0.1,687256.5797122737,1290.6213837989167,"[2, 2, 4, 2, 2, 4, 4, 2, 3, 4, 2, 4, 4, 2, 2, 4, 1, 2, 2, 4, 4, 4, 2, 4, 0, 2, 4, 2, 2, 4, 4, 4, 4, 1, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 2]","[0, 0, 0, 1, 0, 0, 2, 0, 1]"
config-2,5,46,50,0.1,0.9,661102.8213153688,1721.0081488387084,"[1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 2, 4, 4, 4, 4, 2, 2, 2, 4, 2, 2, 0, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 0, 4, 4, 4, 4, 2, 4]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]"
config-2,5,46,50,0.2,0.8,660516.1888855058,1459.208264348312,"[4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 4, 3, 3, 2, 4, 2, 4, 4, 4, 2, 4, 4, 2, 1, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 0, 4, 2, 0, 4, 2, 4, 4, 4, 2]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
config-2,5,46,50,0.3,0.7,659068.6956142517,1677.0145131171184,"[1, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 2, 2, 4, 0, 2, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4, 4, 2, 4, 4, 4, 2, 4, 2]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
config-2,5,46,50,0.4,0.6,653673.8820189792,1720.2310741427766,"[4, 1, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 2, 2, 4, 4, 0, 3, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
config-2,5,46,50,0.5,0.5,654811.7812195956,1433.563414755001,"[4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 0, 3, 4, 4, 1, 2, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 3, 4, 4, 4, 4, 0, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
config-2,5,46,50,0.6,0.4,664714.3665827429,1428.815836511649,"[1, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 4, 0, 2, 4, 4, 4, 4, 4, 4, 0, 2, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 2, 2, 4, 4, 2, 2, 4, 4, 4, 4]","[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
config-2,5,46,50,0.7,0.3,659326.5530913023,1704.8907739692172,"[1, 4, 2, 4, 2, 2, 2, 4, 2, 4, 4, 4, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 3, 2, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
config-2,5,46,50,0.8,0.2,655834.2496319027,1404.7478855424501,"[4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 3, 4, 2, 3, 4, 2, 4, 2, 4, 4, 4, 3, 4, 4, 4, 0, 4, 4, 4, 4, 2, 4, 4, 2, 4, 4, 1, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
config-2,5,46,50,0.9,0.1,670959.302875044,1745.1464094672976,"[2, 2, 4, 4, 4, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 0, 4, 4, 4, 2, 4, 4, 4, 3, 4, 4, 4, 3, 2, 2, 4, 4, 4, 4, 2, 0, 1, 4, 0, 4, 4, 4, 4, 2, 4]","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
config-2,5,46,100,0.1,0.9,663756.7138647581,1485.5171135636806,"[4, 4, 4, 2, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 4, 2, 0, 1, 2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 0, 2, 2, 0, 4, 4, 4, 4, 4, 4, 2, 4, 4]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
config-2,5,46,100,0.2,0.8,664705.4088115757,1685.7973029216655,"[2, 2, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 3, 4, 4, 4, 4, 2, 4, 4, 0, 4, 4, 4, 3, 2, 4, 4, 4, 1, 2, 2, 3, 4, 4, 0, 4, 4, 4, 4, 2, 4]","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
config-2,5,46,100,0.3,0.7,653326.3110514982,1404.5155921802157,"[4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 0, 2, 2, 4, 3, 2, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 4, 4, 4, 2, 4, 1, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 2]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
config-2,5,46,100,0.4,0.6,655635.6370006477,1675.8078521680748,"[4, 2, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 2, 3, 2, 4, 2, 4, 4, 4, 4, 4, 2, 4, 0, 4, 4, 4, 1, 4, 4, 4, 2, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]"
config-2,5,46,100,0.5,0.5,656009.5831710746,1412.2909286139188,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 2, 4, 4, 0, 2, 4, 4, 4, 2, 4]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
config-2,5,46,100,0.6,0.4,670588.9232014962,1698.2093710183435,"[2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4, 4, 0, 4, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 2, 4, 2, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 1]","[0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0]"
config-2,5,46,100,0.7,0.3,658072.7473055912,1459.7082116837523,"[4, 4, 4, 4, 4, 2, 4, 4, 2, 4, 4, 4, 0, 2, 4, 4, 0, 2, 4, 4, 4, 2, 4, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 3, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
config-2,5,46,100,0.8,0.2,658268.34808738,1403.327522413215,"[4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 2, 2, 4, 4, 0, 2, 4, 4, 4, 4, 4, 2, 3, 4, 2, 4, 0, 4, 2, 4, 4, 3, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
config-2,5,46,100,0.9,0.1,666429.1102071927,1723.958805791653,"[2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 2, 4, 4, 2, 2, 4, 4, 4, 3, 2, 4, 4, 0, 2, 2, 4, 2, 1, 4, 4, 2, 2, 4, 0, 4, 4, 4, 4, 4, 2]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]"
config-2,5,46,200,0.1,0.9,653333.0407945823,1469.145702630135,"[4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 1, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
config-2,5,46,200,0.2,0.8,656337.7137159972,1626.8782954976602,"[1, 4, 4, 4, 4, 4, 2, 4, 4, 2, 4, 4, 0, 3, 4, 4, 2, 2, 4, 4, 2, 4, 4, 4, 0, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 2, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
config-2,5,46,200,0.3,0.7,657134.3085411165,1421.516855486963,"[4, 4, 4, 4, 2, 4, 4, 4, 1, 4, 2, 4, 3, 2, 4, 4, 2, 2, 2, 4, 4, 2, 4, 4, 4, 2, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 2]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]"
